ZIP, Crime Count
36551,1
70535,1
70665,1
75070,2
75241,1
75248,1
77000,2
77002,6565
77003,2374
77004,6686
77005,1133
77006,4401
77007,5196
77008,3176
77009,4580
77010,417
77011,1702
77012,1579
77013,2580
77014,178
77015,1702
77016,4873
77017,2918
77018,2411
77019,2597
77020,3329
77021,5883
77022,5378
77023,2920
77024,2541
77025,2570
77026,4670
77027,2275
77028,2761
77029,1218
77030,1746
77031,1763
77032,2594
77033,4262
77034,3097
77035,3731
77036,9473
77037,1743
77038,458
77039,38
77040,3255
77041,999
77042,5059
77043,1886
77044,269
77045,2834
77046,149
77047,1846
77048,1883
77049,219
77050,146
77051,3343
77053,1851
77054,3497
77055,4012
77056,3918
77057,5236
77058,511
77059,277
77060,4899
77061,4257
77062,775
77063,5194
77064,773
77065,14
77066,180
77067,1759
77068,3
77069,127
77070,1639
77071,1656
77072,5372
77073,37
77074,3763
77075,3711
77076,2975
77077,5023
77078,1952
77079,2451
77080,3116
77081,4602
77082,3547
77083,239
77084,1025
77085,1420
77086,47
77087,3562
77088,4371
77089,2062
77090,111
77091,3307
77092,5794
77093,3699
77094,485
77095,13
77096,3450
77098,2294
77099,4568
77205,1
77327,1
77336,287
77338,377
77339,1663
77345,538
77346,16
77354,1
77355,1
77356,1
77357,3
77365,144
77373,10
77375,2
77377,2
77379,1
77380,1
77381,2
77385,7
77386,3
77388,7
77389,20
77396,887
77401,250
77414,2
77417,3
77429,5
77433,12
77447,6
77449,20
77450,7
77459,4
77461,2
77469,10
77471,6
77477,194
77478,48
77479,11
77484,5
77485,1
77489,981
77493,41
77494,34
77502,28
77503,2
77504,123
77505,6
77506,9
77520,26
77521,10
77530,14
77532,22
77535,4
77536,11
77539,9
77541,6
77543,1
77545,8
77546,987
77547,15
77562,38
77571,47
77573,14
77578,1
77581,110
77583,1
77584,23
77586,4
77587,53
77598,1213
78045,1
78355,1
78628,1
78666,1
78728,2
