,zip_code,y-2016
26654,77002,11861
26655,77003,10097
26656,77004,36879
26657,77005,27707
26658,77006,21849
26659,77007,35185
26660,77008,32588
26661,77009,38019
26662,77010,831
26663,77011,18558
26664,77012,20534
26665,77013,20743
26666,77014,34060
26667,77015,57398
26668,77016,27799
26669,77017,32583
26670,77018,28144
26671,77019,21067
26672,77020,25908
26673,77021,26374
26674,77022,28014
26675,77023,27973
26676,77024,37867
26677,77025,28103
26678,77026,23030
26679,77027,15498
26680,77028,14457
26681,77029,18281
26682,77030,10735
26683,77031,18182
26684,77032,13475
26685,77033,28190
26686,77034,39420
26687,77035,36973
26688,77036,77770
26689,77037,19856
26690,77038,29388
26691,77039,28644
26692,77040,47690
26693,77041,36129
26694,77042,40628
26695,77043,26505
26696,77044,40389
26697,77045,34426
26698,77046,1042
26699,77047,26653
26700,77048,16854
26701,77049,32724
26702,77050,4780
26703,77051,15471
26704,77053,31466
26705,77054,22903
26706,77055,44890
26707,77056,19990
26708,77057,39327
26709,77058,17070
26710,77059,18023
26711,77060,44010
26712,77061,25710
26713,77062,27277
26714,77063,37370
26715,77064,47602
26716,77065,38839
26717,77066,32999
26718,77067,32305
26719,77068,11429
26720,77069,18027
26721,77070,49666
26722,77071,27460
26723,77072,61376
26724,77073,42411
26725,77074,37950
26726,77075,42864
26727,77076,35017
26728,77077,56291
26729,77078,16323
26730,77079,33229
26731,77080,46907
26732,77081,46940
26733,77082,55909
26734,77083,75684
26735,77084,103635
26736,77085,17659
26737,77086,28552
26738,77087,36727
26739,77088,55688
26740,77089,52207
26741,77090,38365
26742,77091,23232
26743,77092,38982
26744,77093,43660
26745,77094,8978
26746,77095,71924
26747,77096,37302
26748,77098,13058
26749,77099,50639
26750,77201,0
26765,77336,11806
26766,77338,38300
26767,77339,40950
26770,77345,29922
26771,77346,61719
26777,77357,23491
26784,77365,30644
26790,77373,59297
26792,77375,46466
26794,77377,35698
26796,77379,78058
26803,77388,44345
26804,77389,30006
26805,77396,50196
26806,77401,18667
26820,77429,82323
26823,77433,68478
26835,77447,15417
26837,77449,112317
26838,77450,74206
26861,77477,36787
26868,77484,10716
26872,77489,36344
26873,77493,27273
26874,77494,97515
26875,77498,51793
26876,77502,38186
26877,77503,25259
26878,77504,23939
26879,77505,24088
26880,77506,37423
26881,77507,0
26889,77520,37722
26890,77521,56141
26891,77523,20223
26892,77530,30635
26894,77532,29224
26897,77535,32184
26898,77536,32182
26903,77546,51204
26904,77547,9999
26910,77562,10490
26916,77571,37031
26922,77581,45938
26926,77586,22280
26927,77587,16862
26931,77598,24309
